#enska	islenska	flokkur	id
rune stones	Rúnasteinar	Galdur og kraftaskáld	1000404
Jarðarfarir	Jarðarfarir	Kirkja og kristni	1000901
pole marking graves	Grafarmerki	Kirkja og kristni	1000296
gardening	Garðrækt	Búskapur og sveitastörf	1000090
christmas night	Jólanótt	Hátíðir og tímatal	181
generosity	Örlæti	Fólk og mannlýsingar	185
Ferðaþjónusta	Ferðaþjónusta	Atvinna og verkmenning	1000459
coming of winter	Veturnætur	Hátíðir og tímatal	1000338
times of hardship	Harðindi	Samfélag og stjórnsýsla	1000937
embroidery	Útsaumur	Atvinna og verkmenning	173
coastal customs	Sjávarsiðir	Sjósókn og sjávarfang	1000865
Manslaughter	Manndráp	Samfélag og stjórnsýsla	406
charcoal making	Kolagerð	Atvinna og verkmenning	115
Hrossakjöt	Hrossakjöt	Heimili og daglegt líf	1000910
casting of stones	Grjótkast	Draugar og afturgöngur	7
Heiðarferðir	Heiðarferðir	Atvinna og verkmenning	1000804
Greenlanders	Grænlendingar	Fólk og mannlýsingar	89
down-collecting	Dúntekja	Atvinna og verkmenning	1000324
ancient poems	Fornkvæði	Kveðskapur og sagnalist	125
Lífsviðhorf	Lífsviðhorf	Fólk og mannlýsingar	1000772
boundaries	Landamörk	Staðir og örnefni	131
Hljóðritanir	Hljóðritanir	Kveðskapur og sagnalist	1000368
Átrúnaður og kreddur	Átrúnaður og kreddur	Þjóðtrú og fyrirboðar	1000862
amulettes	Verndargripir	Galdur og kraftaskáld	179
Good Friday	Föstudagurinn langi	Hátíðir og tímatal	94
Vændi	Vændi	Samfélag og stjórnsýsla	1000853
Flugvélar	Flugvélar	Atvinna og verkmenning	1000543
Halaveðrið	Halaveðrið	Sjósókn og sjávarfang	1000895
Útivist	Útivist	Leikir og skemmtun	1000947
Jeppaferðir	Jeppaferðir	Leikir og skemmtun	1000948
marsh-mists	Mýrarþokur	Náttúra og dýr	70
trolls (ogresses; waterfall dwellers)	Fossbúar	Tröll og forynjur	168
langspil (instrument)	Langspil	Kveðskapur og sagnalist	1000376
new year's day	Nýársdagur	Hátíðir og tímatal	28
Fires	Eldsvoðar	Ævi og fjölskylda	1000646
destiny	Örlög	Þjóðtrú og fyrirboðar	65
Rafmagn	Rafmagn	Atvinna og verkmenning	1000812
visitors	Gestakomur	Heimili og daglegt líf	106
höfuðdagur  (29 August, execution of John the Baptist)	Höfuðdagur	Hátíðir og tímatal	1000093
Denmark	Danmörk	Staðir og örnefni	146
flower elves	Blómálfar	Huldufólk	1000899
Skákmenn	Skákmenn	Leikir og skemmtun	1000972
farm-protecting spirits	Bæjarvættir	Þjóðtrú og fyrirboðar	120
harpa (old Scandinavian month)	Harpa	Hátíðir og tímatal	1000243
Áhrínsorð	Áhrínsorð	Galdur og kraftaskáld	1000894
House building	Húsbyggingar	Atvinna og verkmenning	1000877
Hvalskurður	Hvalskurður	Sjósókn og sjávarfang	1000961
lotulengdarkapp (contest on who can recite the longest verse without breathing)	Lotulengdarkapp	Leikir og skemmtun	137
Mice	Mýs	Náttúra og dýr	476
furður (fötlun)	furður (fötlun)	Fólk og mannlýsingar	91
Kreppuárin	Kreppuárin	Samfélag og stjórnsýsla	1000611
Virkjanir	Virkjanir	Atvinna og verkmenning	1000619
scissors	Skæri	Heimili og daglegt líf	11
Beings	Vættir	Þjóðtrú og fyrirboðar	1000861
Smuggling	Smygl	Samfélag og stjórnsýsla	1000564
Netagerð	Netagerð	Sjósókn og sjávarfang	1000888
Fjármörk	Fjármörk	Búskapur og sveitastörf	1000880
Hafís	Hafís	Náttúra og dýr	1000578
lokalykt	lokalykt	Þjóðtrú og fyrirboðar	142
fetch-smells	Fylgjulykt	Þjóðtrú og fyrirboðar	143
St Paul's Day	Pálsmessa	Hátíðir og tímatal	1000341
households	Heimilishald	Heimili og daglegt líf	135
Hundadagar	Hundadagar	Hátíðir og tímatal	1000179
Irishmen	Írar	Fólk og mannlýsingar	156
the giving of favours	Greiðasemi	Samfélag og stjórnsýsla	6
Refarækt	Refarækt	Búskapur og sveitastörf	1000802
magic (corpse-lice)	Nálús	Galdur og kraftaskáld	147
Jarðhiti	Jarðhiti	Náttúra og dýr	1000915
car accidents	Bílslys	Ævi og fjölskylda	276
astrology	Stjörnuspár	Þjóðtrú og fyrirboðar	130
Raven speech	Hrafnamál	Þjóðtrú og fyrirboðar	1000722
Hair	Hár	Fólk og mannlýsingar	1000942
Ættargripir	Ættargripir	Ævi og fjölskylda	1000974
Skartgripir	Skartgripir	Heimili og daglegt líf	1000975
Sauðfjársjúkdómar	Sauðfjársjúkdómar	Búskapur og sveitastörf	1000874
Skógarhögg	Skógarhögg	Atvinna og verkmenning	1000912
elven commerce	Verslun við álfa	Huldufólk	122
brothers	Bræður	Ævi og fjölskylda	100
Coffee	Kaffi	Heimili og daglegt líf	1000943
Hermennska	Hermennska	Samfélag og stjórnsýsla	1000913
Rjómabú	Rjómabú	Búskapur og sveitastörf	1000386
Útgerðir	Útgerðir	Sjósókn og sjávarfang	1000796
Vitar	Vitar	Sjósókn og sjávarfang	1000627
Sængurlega	Sængurlega	Ævi og fjölskylda	1000890
elvish entertainments	Skemmtanir álfa	Huldufólk	74
Handverk	Handverk	Atvinna og verkmenning	1000928
Húsgagnasmíði	Húsgagnasmíði	Atvinna og verkmenning	1000979
Hekla (mt.)	Hekla	Staðir og örnefni	129
útmánuður	útmánuður	Hátíðir og tímatal	85
folk tale	Þjóðsögur	Kveðskapur og sagnalist	151
Dalir	Dalir	Staðir og örnefni	1000809
Fights	Slagsmál	Samfélag og stjórnsýsla	265
Byggðaþróun	Byggðaþróun	Samfélag og stjórnsýsla	1000918
Ferðamenn	Ferðamenn	Atvinna og verkmenning	1000930
Hákarlaveiðar	Hákarlaveiðar	Sjósókn og sjávarfang	1000892
Barnaheimili	Barnaheimili	Samfélag og stjórnsýsla	1000916
Fjallagrös	Fjallagrös	Búskapur og sveitastörf	1000808
Druslukveðskapur	Druslukveðskapur	Kveðskapur og sagnalist	1000872
Árstími og dagar	Árstími og dagar	Hátíðir og tímatal	1000869
Snjór	Snjór	Náttúra og dýr	1000829
Kvenfélög	Kvenfélög	Samfélag og stjórnsýsla	1000684
Bátasmíðar	Bátasmíðar	Sjósókn og sjávarfang	1000798
fooling stories	Gabbsögur	Kveðskapur og sagnalist	1000035
Heimsendir	Heimsendir	Þjóðtrú og fyrirboðar	1000694
Sauðfjárveikivarnir	Sauðfjárveikivarnir	Búskapur og sveitastörf	1000836
Hreinlæti	Hreinlæti	Heimili og daglegt líf	1000897
Bad luck	Óheppni	Þjóðtrú og fyrirboðar	573
Körfugerð	Körfugerð	Atvinna og verkmenning	1000364
Places of execution	Aftökustaðir	Staðir og örnefni	1000827
seiður magic	Seiður	Galdur og kraftaskáld	34
Gjafir	Gjafir	Samfélag og stjórnsýsla	1000531
Pseudo medical cures	Kukl og skottulækningar	Galdur og kraftaskáld	1000907
Sundkennsla	Sundkennsla	Leikir og skemmtun	1000876
